location_id,sensor_name,sensor_description,installation_date,year_installed,sensor_age_years,status,status_label,is_active,location_type,direction_1,direction_2,directions,latitude,longitude,in_cbd,note,has_note
68,FLDegN_T,Flinders Ln -Degraves St (North),2020-06-03,2020.0,6.168377823408624,A,Active,True,Outdoor,East,West,East / West,-37.8168479,144.96559789,True,,False
69,FLDegC_T,Flinders Ln -Degraves St (Crossing),2020-06-03,2020.0,6.168377823408624,A,Active,True,Outdoor,North,South,North / South,-37.81687226,144.96559144,True,,False
72,ACMI_T,Flinders St- ACMI,2020-11-30,2020.0,5.675564681724846,A,Active,True,Outdoor,East,West,East / West,-37.81726338,144.96872809,True,,False
82,Eli512_T,512 Elizabeth Street,2021-11-05,2021.0,4.744695414099931,A,Active,True,Indoor,,,,-37.80667227,144.96005554,True,,False
89,CityLi_T,City Library,2013-12-11,2013.0,12.646132785763175,A,Active,True,Indoor,,,,-37.81685964,144.96586575,True,,False
96,FitGarVisIInt_T,Fitzroy Garden Visitor Centre Internal,2015-03-02,2015.0,11.425051334702259,A,Active,True,Indoor,,,,-37.81499687,144.97925064,True,"Pushbox Upgrade, 30/06/2023",True
108,261Will_T,William St - Little Lonsdale St (West),2022-10-08,2022.0,3.8220396988364134,A,Active,True,Outdoor,North,South,North / South,-37.81295822,144.95678789,True,Added lines for 7 Eleven Store - 2025-05-07,True
116,FitCafVis_T,Fitzroy Garden Visitor Centre Cafe Verandah,2015-03-02,2015.0,11.425051334702259,A,Active,True,Indoor,,,,-37.81493732,144.97932442,True,"Pushbox Upgrade, 30/06/2023",True
117,Fli114F_T,114 Flinders Street Car Park Footpath,2022-12-06,2022.0,3.6605065023956196,A,Active,True,Outdoor,East,West,East / West,-37.81629332,144.97090877,True,,False
123,BirBridge_T,Birrarung Marr East - Batman Ave Bridge Entry,2023-06-02,2023.0,3.1731690622861053,A,Active,True,Outdoor,East,West,East / West,-37.81753741,144.97329734,True,<Null>,True
