feature_name,theme,sub_theme,broad_category,is_sensory_refuge,in_cbd,latitude,longitude
Alexandra Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8206051404251,144.971796067365
Jolimont-MCG Railway Station (East Melbourne) - Train stop,Transport,Railway Station,Transport,False,False,-37.8165651811668,144.983641003377
Shrine of Remembrance,Community Use,Public Buildings,Other,True,False,-37.8302080020387,144.973441913623
Newmarket Railway Station,Transport,Railway Station,Transport,False,False,-37.7872726241965,144.929059958114
Carlton Courthouse Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,False,-37.7976589943217,144.968750113566
Melbourne Showgrounds,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Parks & Open Space,True,False,-37.7823097850883,144.910822117306
Kraft,Industrial,Industrial (Manufacturing),Other,False,False,-37.8262313085528,144.923475698195
"Melbourne Wholesale Fruit, Vegetable & Flower Market",Mixed Use,Retail/Office/Carpark,Parks & Open Space,False,False,-37.80687252157,144.923287444259
Melbourne Central,Mixed Use,Retail/Office/Carpark,Parks & Open Space,False,True,-37.8105371797142,144.962749729496
Piazza Italia,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8025164192523,144.965863092947
Murchinson Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8002735025371,144.973059252203
Melbourne Aquarium,Purpose Built,Aquarium,Other,False,True,-37.8209627824685,144.958425696055
Myer,Retail,Department Store,Retail / Commercial,False,True,-37.8135911985281,144.963855087868
St Francis Church,Place of Worship,Church,Places of Worship,True,True,-37.8118847831837,144.962422614541
Greek Orthodox Church,Place of Worship,Church,Places of Worship,True,True,-37.8088064667555,144.978259089269
North Melbourne Uniting,Place of Worship,Church,Places of Worship,True,False,-37.8035538471344,144.947671538375
Carlton Gardens North,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8017690847403,144.971997551189
Treasury Reserve,Mixed Use,Retail/Office,Retail / Commercial,False,True,-37.8129178793082,144.975236759799
The Mission To Seafarers Victoria,Specialist Residential Accommodation,Hostel,Other,False,False,-37.8224995970811,144.951254841448
Wonderland Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Parks & Open Space,True,False,-37.8116945351989,144.936833674975
State Coroners Office,Office,Office,Retail / Commercial,False,True,-37.8244982228756,144.964675254819
Fawkner Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8413996708186,144.981625667877
BIO 21 Institute,Education Centre,Tertiary (University),Education,True,False,-37.7978743305343,144.953780325865
Enterprize Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.820210269629,144.959276859602
Royal Melbourne Hospital,Health Services,Public Hospital,Health Services,True,False,-37.7993071664096,144.956389746765
Commonwealth Law Courts,Community Use,Public Buildings,Other,True,True,-37.8123961677596,144.955823833257
City Baths,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,True,-37.8071585350561,144.963189789721
Flemington Bridge Railway Station,Transport,Railway Station,Transport,False,False,-37.7881645889621,144.939277838304
Council House 2 (CH2),Mixed Use,Retail/Office/Carpark,Parks & Open Space,False,True,-37.8142591432011,144.966638432727
Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8060684577258,144.971266479841
Wesley Church,Place of Worship,Church,Places of Worship,True,True,-37.8101576446961,144.968168215633
Christ Church Kensington,Place of Worship,Church,Places of Worship,True,False,-37.7932109480553,144.92729572288
Melbourne Private Hospital,Health Services,Private Hospital,Health Services,True,False,-37.7983111309698,144.95728837725
Victoria Police,Community Use,Police Station,Transport,True,False,-37.8003121288849,144.954697453742
Visy Park,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.7834303940347,144.961982577553
Batman Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8218460949601,144.956665812218
Australian Red Cross,Office,Office,Retail / Commercial,False,False,-37.7990921023192,144.952635945774
Polly Woodside,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8242574266145,144.953478052064
Melbourne Town Hall,Community Use,Public Buildings,Other,True,True,-37.8150754791411,144.966542722283
DFO South Wharf,Mixed Use,Retail/Office,Retail / Commercial,False,False,-37.824887401234,144.949794297819
The Ian Potter Centre: NGV Australia,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,True,-37.8174831423197,144.969899048343
Channel 7 - Melbourne Broadcast Centre,Purpose Built,Film & RV Studio,Other,False,False,-37.8158572333481,144.94582326909
AAMI Park,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.8247252673963,144.98380297866
Kangan Batman Tafe,Education Centre,Further Education,Education,True,False,-37.8221818203024,144.948908460665
Margaret Court Arena,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,True,-37.8213252086842,144.977591098955
Riverslide Skate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8207887122448,144.972951789291
Royal Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.7906174256581,144.953834240647
Government House,Residential Accommodation,Dwelling (House),Other,False,False,-37.8275635886174,144.976655130464
Yarra Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.820469374101,144.986671109615
Melbourne Central Railway Station,Transport,Railway Station,Transport,False,True,-37.8097759325888,144.962670059539
Victoria Police Museum,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8222182774409,144.954039975197
St Pauls Cathedral,Place of Worship,Church,Places of Worship,True,True,-37.8169549012399,144.967681647402
Melbourne Visitor Centre,Community Use,Visitor Centre,Other,True,True,-37.8177352402006,144.967937138226
Australian Centre For The Moving Image (ACMI),Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,True,-37.8176107327202,144.969070431323
Sinclair's Cottage,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8145407488014,144.980554992725
Etihad Stadium,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.8161760471742,144.947496254547
Lincoln Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8027919689732,144.962760852233
Bishopscourt,Residential Accommodation,Dwelling (House),Other,False,False,-37.8132921649416,144.98350690799
St Peter's Eastern Hill,Place of Worship,Church,Places of Worship,True,True,-37.8097086714637,144.975259178609
Scots Church,Place of Worship,Church,Places of Worship,True,True,-37.8145687802664,144.96855105335
South Yarra Presbyterian Church,Place of Worship,Church,Places of Worship,True,False,-37.8407473645397,144.98562699348
Port of Melbourne,Transport,Transport Terminal,Sports Facilities,False,False,-37.8137384362671,144.91753432375
FairFax Studio,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.8216684581887,144.968836241692
Epworth Freemasons Hospital : Medical Centre,Health Services,Private Hospital,Health Services,True,False,-37.8093444587231,144.982336768182
Melbourne Central Railway Station,Transport,Railway Station,Transport,False,True,-37.8105992402369,144.96169061383
Melbourne Central Railway Station,Transport,Railway Station,Transport,False,True,-37.8108930047401,144.963100728702
Collins Street Baptist Church,Place of Worship,Church,Places of Worship,True,True,-37.8147011904647,144.968072486031
St Thomas Aquinas Church,Place of Worship,Church,Places of Worship,True,False,-37.8353076902578,144.976809080472
Melbourne Visitor Booth,Community Use,Visitor Centre,Other,True,True,-37.8139525061193,144.964425882562
Powlett Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8116929882498,144.987275671763
Carlton Primary School,Education Centre,Primary Schools,Education,True,False,-37.7959079757171,144.970147317976
State Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.8212806349773,144.968469643744
University of Melbourne (VCA and Music),Education Centre,Tertiary (University),Education,True,True,-37.8241137662047,144.96933253996
St Martins Youth Arts Centre,Place Of Assembly,Theatre Live,Arts & Culture,False,False,-37.8352429531289,144.98114217385
Australian Broadcasting Corporation (ABC),Office,Office,Retail / Commercial,False,True,-37.823813323734,144.966551401578
IMAX Melbourne,Place Of Assembly,Cinema,Other,False,False,-37.8034315561903,144.970639929886
Richmond Railway Station (Richmond) - Train stop,Transport,Railway Station,Transport,False,False,-37.8238992659834,144.989400751664
Victorian Insitute of Forensic Medicine,Office,Office,Retail / Commercial,False,True,-37.8246924089335,144.964979061564
Parliament Railway Station,Transport,Railway Station,Transport,False,True,-37.8121572789173,144.973742010011
Showgrounds Railway Station (Flemington),Transport,Railway Station,Transport,False,False,-37.7834651216244,144.914902626775
Alfred Hospital,Health Services,Public Hospital,Health Services,True,False,-37.8462631206461,144.981786260765
Comedy Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.8102053945163,144.97013311862
La Mama Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,False,-37.7991304956733,144.967669503083
Forum Theatre,Place Of Assembly,Theatre Live,Arts & Culture,False,True,-37.816485409696,144.969386556998
Royal Dental Hospital,Health Services,Public Hospital,Health Services,True,False,-37.7995065904416,144.964526842767
Webb Bridge,Transport,Bridge,Transport,False,False,-37.8232052384507,144.947291011905
David Jones,Retail,Department Store,Retail / Commercial,False,True,-37.8133127260638,144.964373486798
